"site" "replicate" "location" "wavenumber" "intensity" "id"
"275" "Beach" "01" "Inside" 3438.05217 0.99658 1
"276" "Beach" "01" "Inside" 3436.013 0.99618 1
"277" "Beach" "01" "Inside" 3433.97382 0.99605 1
"278" "Beach" "01" "Inside" 3431.93464 0.99625 1
"279" "Beach" "01" "Inside" 3429.89547 0.9964 1
"280" "Beach" "01" "Inside" 3427.85629 0.99632 1
"281" "Beach" "01" "Inside" 3425.81711 0.99621 1
"282" "Beach" "01" "Inside" 3423.77794 0.99612 1
"283" "Beach" "01" "Inside" 3421.73876 0.99589 1
"284" "Beach" "01" "Inside" 3419.69958 0.99571 1
"285" "Beach" "01" "Inside" 3417.66041 0.99572 1
"286" "Beach" "01" "Inside" 3415.62123 0.99569 1
"287" "Beach" "01" "Inside" 3413.58205 0.99557 1
"288" "Beach" "01" "Inside" 3411.54288 0.99542 1
"289" "Beach" "01" "Inside" 3409.5037 0.99536 1
"290" "Beach" "01" "Inside" 3407.46452 0.99553 1
"291" "Beach" "01" "Inside" 3405.42534 0.99578 1
"292" "Beach" "01" "Inside" 3403.38617 0.99604 1
"293" "Beach" "01" "Inside" 3401.34699 0.99606 1
"294" "Beach" "01" "Inside" 3399.30781 0.99565 1
"295" "Beach" "01" "Inside" 3397.26864 0.99544 1
"296" "Beach" "01" "Inside" 3395.22946 0.99552 1
"297" "Beach" "01" "Inside" 3393.19028 0.99558 1
"298" "Beach" "01" "Inside" 3391.15111 0.99563 1
"299" "Beach" "01" "Inside" 3389.11193 0.99573 1
"300" "Beach" "01" "Inside" 3387.07275 0.99578 1
"301" "Beach" "01" "Inside" 3385.03358 0.99567 1
"302" "Beach" "01" "Inside" 3382.9944 0.99547 1
"303" "Beach" "01" "Inside" 3380.95522 0.99544 1
"304" "Beach" "01" "Inside" 3378.91605 0.99549 1
"305" "Beach" "01" "Inside" 3376.87687 0.99536 1
"306" "Beach" "01" "Inside" 3374.83769 0.99521 1
"307" "Beach" "01" "Inside" 3372.79852 0.99517 1
"308" "Beach" "01" "Inside" 3370.75934 0.99499 1
"309" "Beach" "01" "Inside" 3368.72016 0.99472 1
"310" "Beach" "01" "Inside" 3366.68098 0.99495 1
"311" "Beach" "01" "Inside" 3364.64181 0.99554 1
"312" "Beach" "01" "Inside" 3362.60263 0.99565 1
"313" "Beach" "01" "Inside" 3360.56345 0.99519 1
"314" "Beach" "01" "Inside" 3358.52428 0.99487 1
"315" "Beach" "01" "Inside" 3356.4851 0.9949 1
"316" "Beach" "01" "Inside" 3354.44592 0.99497 1
"317" "Beach" "01" "Inside" 3352.40675 0.99495 1
"318" "Beach" "01" "Inside" 3350.36757 0.99494 1
"319" "Beach" "01" "Inside" 3348.32839 0.99497 1
"320" "Beach" "01" "Inside" 3346.28922 0.99498 1
"321" "Beach" "01" "Inside" 3344.25004 0.99511 1
"322" "Beach" "01" "Inside" 3342.21086 0.99541 1
"323" "Beach" "01" "Inside" 3340.17169 0.99559 1
"324" "Beach" "01" "Inside" 3338.13251 0.9955 1
"325" "Beach" "01" "Inside" 3336.09333 0.99548 1
"326" "Beach" "01" "Inside" 3334.05415 0.99552 1
"327" "Beach" "01" "Inside" 3332.01498 0.99534 1
"328" "Beach" "01" "Inside" 3329.9758 0.99516 1
"329" "Beach" "01" "Inside" 3327.93662 0.99517 1
"330" "Beach" "01" "Inside" 3325.89745 0.99525 1
"331" "Beach" "01" "Inside" 3323.85827 0.9953 1
